norma_id,grupo,baixar,url,rotulo,observacao
rdc-anvisa-715-2022,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000715&seqAto=002&valorAno=2022&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 715/2022,
rdc-anvisa-727-2022,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000727&seqAto=002&valorAno=2022&orgao=RDC/DC/ANVISA/MS&codTipo&desItem&desItemFim&cod_menu=9434&cod_modulo=310&pesquisa=true,RDC Anvisa nº 727/2022,
rdc-anvisa-751-2022,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000751&seqAto=000&valorAno=2022&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 751/2022,
rdc-anvisa-778-2023,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&link=S&tipo=RDC&numeroAto=00000778&seqAto=000&valorAno=2023&orgao=RDC/DC/ANVISA/MS&cod_modulo=310&cod_menu=9431,RDC Anvisa nº 778/2023,
rdc-anvisa-80-2006,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&cod_menu=8542&cod_modulo=310&link=S&numeroAto=00000080&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=002&tipo=RDC&valorAno=2006,RDC Anvisa nº 80/2006,
rdc-anvisa-830-2023,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000830&seqAto=000&valorAno=2023&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 830/2023,
rdc-anvisa-843-2024,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000843&seqAto=000&valorAno=2024&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 843/2024 — texto consolidado,
rdc-anvisa-848-2024,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000848&seqAto=000&valorAno=2024&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,RDC Anvisa nº 848/2024,
rdc-anvisa-886-2024,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&link=S&tipo=RDC&numeroAto=00000886&seqAto=000&valorAno=2024&orgao=RDC/DC/ANVISA/MS&cod_modulo=310&cod_menu=9431,RDC Anvisa nº 886/2024,
rdc-anvisa-894-2024,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000894&seqAto=000&valorAno=2024&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 894/2024,
rdc-anvisa-907-2024,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000907&seqAto=000&valorAno=2024&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 907/2024,
rdc-anvisa-939-2024,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000939&seqAto=000&valorAno=2024&orgao=RDC/DC/ANVISA/MS&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 939/2024,
rdc-anvisa-96-2008,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&numeroAto=00000096&orgao=RDC%2FDC%2FANVISA%2FMS&pesquisa=true&seqAto=000&tipo=RDC&valorAno=2008,RDC Anvisa nº 96/2008 — texto consolidado,
rdc-anvisa-973-2025,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000973&seqAto=000&valorAno=2025&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 973/2025,
rdc-anvisa-989-2025,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000989&seqAto=000&valorAno=2025&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,RDC Anvisa nº 989/2025,
resolucao-re-anvisa-2605-2006,re-anvisa,sim,https://anttlegis.antt.gov.br/action/ActionDatalegis.php?acao=abrirTextoAto&link=S&tipo=RES&numeroAto=00002606&seqAto=000&valorAno=2006&orgao=RE/ANVISA/MS&cod_modulo=161&cod_menu=7794,Resolução-RE Anvisa nº 2.605/2006,"CONFERIR: URL aponta para anttlegis/ANTT e para o ato 2606, nao para a RE 2.605 da Anvisa"
resolucao-antt-5998-2022,resolucao-antt,sim,https://anttlegis.antt.gov.br/action/ActionDatalegis.php?acao=detalharAto&tipo=RES&numeroAto=00005998&seqAto=000&valorAno=2022&orgao=DG/ANTT/MI&codTipo=&desItem=&desItemFim=&cod_menu=5408&cod_modulo=161&pesquisa=true,Resolução ANTT nº 5.998/2022,
resolucao-conjunta-2-2014,resolucao-conjunta,sim,https://prefeitura.sp.gov.br/web/direitos_humanos/w/participacao_social/conselhos_e_orgaos_colegiados/cmdca/203928,Resolução Conjunta nº 2/2014 CMDCA-SP e COMAS-SP,
